Crop Name,Year,Season,State,Area (Ha),Production (Tonnes),Inflation Rate (%),Production Cost (Per Tonne),Market Price (per Tonne),Supply (Tonnes),Demand (Tonnes),Import Volume (tonnes),Export Volume (tonnes),Interest Rate (%),Yield,Profit Margin (%),Category
Bajra,2017,Rabi       ,Puducherry,42735.03,462174.7942,2.8141,48034.7717,82199.4437,71071.3688,38128.915,29805.5241,135735.9842,15.5899,10.8177,56.2713,retail
Bajra,2017,Summer     ,Puducherry,198187.12,80443.563,4.1837,50255.2678,82999.2901,66824.4853,24420.6956,51842.0778,83434.962,10.3148,0.4066,64.7885,direct
Banana,2017,Kharif     ,Puducherry,21181.5,250400.9292,2.8034,21843.0335,91912.8502,75570.1196,68902.6179,63195.4305,74574.0245,14.8623,11.8235,25.4232,wholesale
Black pepper,2017,Kharif     ,Puducherry,28370.73,32116.4352,7.1048,46195.2277,70930.2893,72616.2241,42487.3674,35570.1277,58091.1132,13.8351,1.1342,69.6891,retail
Cashewnut,2017,Kharif     ,Puducherry,79100.03,191975.548,5.1574,39891.1622,44094.9889,52092.4685,70817.3615,42312.508,72731.2384,14.8409,2.4289,96.8029,direct
Coconut ,2017,Whole Year ,Puducherry,65077.41,335346.0357,0.3531,26521.9509,68562.604,46885.0032,48261.2907,44854.3465,73146.912,16.371,5.1574,37.2467,wholesale
Cotton(lint),2017,Kharif     ,Puducherry,58087.23,209946.0268,6.8587,31344.8047,82253.3503,34480.2257,33368.3459,77555.0766,86169.0474,9.416,3.6166,40.7777,retail
Dry chillies,2017,Kharif     ,Puducherry,175617.42,525437.4742,7.8538,39520.0006,54022.8555,46014.6545,71860.0872,12859.3135,47981.9565,10.165,2.996,70.4488,direct
Dry chillies,2017,Rabi       ,Puducherry,33657.94,380239.2339,6.1204,62433.7403,55222.1436,47020.8076,34318.3026,34929.2084,38943.5381,14.9907,11.2992,108.8725,wholesale
Dry chillies,2017,Summer     ,Puducherry,37642.46,398424.3654,10.058,58967.3148,55721.4163,47002.2859,53531.2654,52257.1843,109114.0846,12.947,10.5823,101.9068,retail
Groundnut,2017,Kharif     ,Puducherry,139917.86,48245.8292,5.3179,43812.0809,67069.312,59775.2932,19783.9148,82635.7148,71162.2118,14.0384,0.3424,69.8924,direct
Groundnut,2017,Rabi       ,Puducherry,111159.25,512005.1222,10.2078,33730.894,60155.7317,89764.0762,82891.4983,39277.2818,117191.4183,14.7553,4.601,54.0029,wholesale
Groundnut,2017,Summer     ,Puducherry,178257.98,326720.8192,6.6019,21727.3665,60021.1792,30853.9422,31287.7095,58793.6003,129682.0312,12.1766,1.8297,34.8606,retail
Jowar,2017,Kharif     ,Puducherry,17105.55,342286.3018,10.5502,54121.1243,47959.7005,72488.9048,57955.7582,21896.7582,129196.7755,13.2787,20.009,108.6692,direct
Jowar,2017,Summer     ,Puducherry,125406.09,317783.5158,4.387,34659.1725,63166.7224,93331.3171,81396.0663,30358.2968,104996.1896,9.9724,2.5359,52.8366,wholesale
Moong(Green Gram),2017,Rabi       ,Puducherry,135412.58,96611.9264,4.3549,27461.2932,59126.2205,61912.7252,33726.5391,35805.089,51997.0673,14.7232,0.7169,49.7015,retail
Moong(Green Gram),2017,Summer     ,Puducherry,160257.88,142759.6033,9.3625,34066.0287,56083.1833,54540.3182,46242.3933,103866.9009,60546.5171,13.7923,0.8881,64.9918,direct
Onion,2017,Kharif     ,Puducherry,61036.41,195815.9706,2.0972,47941.0932,100481.8596,58124.2297,32083.629,73797.7502,79479.3646,12.8079,3.21,51.0497,wholesale
Onion,2017,Summer     ,Puducherry,145939.52,365057.357,8.4316,62455.1831,50317.4348,67148.9521,63168.6484,32475.6449,104158.2191,11.8556,2.5038,119.5297,retail
Other  Rabi pulses,2017,Rabi       ,Puducherry,171556.95,375347.6647,5.2644,29023.2792,40284.7403,92422.8764,34036.4004,37860.8372,95422.6428,15.3331,2.1828,69.3788,direct
Other Cereals,2017,Rabi       ,Puducherry,149903.17,200515.5604,9.1913,56688.9852,100382.6278,24634.1071,21347.4202,55998.343,74578.7325,12.8614,1.3375,60.4229,wholesale
Other Kharif pulses,2017,Kharif     ,Puducherry,194247.12,134882.488,6.3986,40978.432,80479.6648,78108.4806,66664.5845,103156.8489,73053.2763,11.877,0.6955,54.4844,retail
Other Summer Pulses,2017,Summer     ,Puducherry,48050.53,155041.1596,8.8596,51250.2929,82330.829,27721.2069,78673.0447,33108.582,99785.9851,11.128,3.2314,66.6075,direct
Ragi,2017,Kharif     ,Puducherry,55782.56,401244.0829,10.1864,31214.5857,69801.2788,51966.1978,82495.0954,11867.6803,101521.5037,11.9091,7.1904,43.0675,wholesale
Ragi,2017,Rabi       ,Puducherry,134235.76,285680.8622,0.0214,32727.3089,78003.1284,44482.1577,88333.1545,12804.0694,106079.5539,10.7,2.1293,40.4032,retail
Ragi,2017,Summer     ,Puducherry,70551.66,293905.8559,8.3888,34826.681,38137.4108,61198.2541,28519.9726,55483.0203,48592.9907,12.626,4.1623,87.9433,direct
Rice,2017,Kharif     ,Puducherry,182496.51,252423.7749,6.6982,50620.6407,95967.5938,50055.9482,67079.2951,37722.1759,66321.0289,8.9452,1.3803,56.4425,wholesale
Rice,2017,Rabi       ,Puducherry,57835.57,194857.9675,0.5778,63119.0753,91165.2198,43337.0223,78363.2797,27496.0254,32924.2852,9.2127,3.3705,74.0868,retail
Rice,2017,Summer     ,Puducherry,23755.81,441848.6676,8.2604,48531.1447,74668.666,34396.4661,67290.5987,59970.2472,46600.8326,13.161,18.5966,62.595,direct
Sesamum,2017,Kharif     ,Puducherry,86082.64,453715.2993,7.169,50724.5163,66488.0345,23984.1142,85423.5891,61575.0439,135295.08,15.5792,5.2751,73.4662,wholesale
Sesamum,2017,Rabi       ,Puducherry,46960.03,221050.1551,8.4316,45547.4604,71662.5759,22312.7635,31693.3037,92213.4988,21431.672,9.2876,4.708,68.0092,retail
Sesamum,2017,Summer     ,Puducherry,18685.9,17533.4159,9.309,50471.1831,46847.1038,40419.892,29470.2717,77864.97,72986.9042,9.5337,0.9416,115.2818,direct
Small millets,2017,Kharif     ,Puducherry,55966,16128.5808,8.7098,64098.6924,67296.5586,15579.2749,16361.3165,27867.187,38825.7953,10.9354,0.2889,101.9175,wholesale
Sugarcane,2017,Kharif     ,Puducherry,28559.22,203760.1963,3.5096,60449.1899,69557.0192,67458.5138,78486.747,97206.6003,26057.9775,14.8302,7.1369,92.9937,retail
Sweet potato,2017,Kharif     ,Puducherry,17125.08,13883.0146,7.6077,44139.8968,80080.8009,32960.28,79086.0433,41547.2761,106491.3434,13.6639,0.8132,58.9784,direct
Sweet potato,2017,Rabi       ,Puducherry,168448.44,28077.8165,6.4949,52695.039,100718.8432,16795.2229,78371.6364,37472.1918,38267.5656,14.5841,0.1712,55.9824,wholesale
Tapioca,2017,Kharif     ,Puducherry,57200.18,87784.4799,7.0085,28163.8124,106972.3084,71374.7459,15970.4562,23870.4588,71517.2485,14.4022,1.5301,28.1731,retail
Tapioca,2017,Rabi       ,Puducherry,40629.94,24380.4957,1.2733,44452.7862,106832.6841,51980.1506,39461.0115,84208.7111,70195.5631,11.0852,0.5992,44.5227,direct
Turmeric,2017,Kharif     ,Puducherry,91542.29,37170.6444,9.1164,27291.6982,84705.0413,40675.8253,10905.7717,37424.6196,52848.1346,8.6028,0.4066,34.4754,wholesale
Urad,2017,Kharif     ,Puducherry,78344.35,426625.264,6.9229,28219.431,41339.7389,87586.99,80711.8441,52062.2303,135368.6639,15.8574,5.4463,65.7408,retail
Urad,2017,Rabi       ,Puducherry,51927.39,513845.1263,8.56,34145.9256,47042.2076,51902.9073,94182.8017,15559.4799,60473.939,12.4548,9.8975,69.9031,direct
Urad,2017,Summer     ,Puducherry,31573.31,529915.36,1.2412,33654.0787,49996.392,24476.2072,25974.3356,53861.4032,88967.1509,12.3799,16.7883,64.8206,wholesale
Arecanut,2017,Rabi       ,Assam,128674.51,401403.0635,1.1984,48934.6096,39641.2102,73731.3032,13850.4438,43160.7719,119527.4423,11.7165,3.1244,118.877,retail
Arhar/Tur,2017,Kharif     ,Assam,169179.68,419607.5513,6.313,33107.8116,65960.9846,59979.9307,80090.998,34478.0322,52507.9816,10.593,2.4824,48.3319,direct
Banana,2017,Whole Year ,Assam,157348.65,336609.7699,5.1467,26516.0552,80490.9961,86339.1239,78771.7201,46148.1263,40822.5972,15.4401,2.14,31.7255,wholesale
Black pepper,2017,Whole Year ,Assam,78807.39,494876.7441,2.3433,54661.8702,47427.0117,20628.5514,12782.0809,66167.6444,153822.7827,14.124,6.2809,110.9911,retail
Castor seed,2017,Kharif     ,Assam,87668.34,173315.7645,7.0192,51451.592,49533.9594,50985.4144,37465.087,51065.2899,79640.9132,13.696,1.9795,111.1409,direct
Coconut ,2017,Whole Year ,Assam,87912.9,232497.625,6.3558,38535.9965,103337.7324,50755.3109,12694.4907,61140.2922,11896.2493,11.2029,2.6429,39.9003,wholesale
Cotton(lint),2017,Kharif     ,Assam,14203.3,177420.0384,1.7441,35027.6591,62744.265,58747.1623,59114.3542,38225.6644,87705.6423,12.0054,12.4869,59.7381,retail
Dry chillies,2017,Whole Year ,Assam,116552.28,65679.1252,4.9969,32613.0864,43176.4474,25118.8813,67212.8525,82011.4661,103159.7272,13.8244,0.5671,80.8171,direct
Ginger,2017,Whole Year ,Assam,16912.65,410348.8627,3.1672,25791.3549,62005.3123,82590.3682,85311.6778,30366.2362,87168.9838,13.8244,24.2676,40.0608,wholesale
Gram,2017,Rabi       ,Assam,15446.43,110030.4326,8.56,24797.1644,47127.3475,11626.2134,61641.6514,56950.8784,38900.9628,11.8556,7.1262,56.3034,retail
Jute,2017,Kharif     ,Assam,94124.99,200328.1927,9.8012,37576.4419,76419.9243,84392.6976,38653.9747,31565.1712,23507.3222,10.7321,2.1293,52.6119,direct
Linseed,2017,Rabi       ,Assam,140285.81,409142.7052,7.2011,61109.8079,37022.5457,63756.5492,31214.5964,65990.5808,81071.6102,15.7825,2.9211,158.9485,wholesale
Maize,2017,Kharif     ,Assam,44335.61,499812.5685,6.8159,38671.0091,40803.1874,44741.7397,41535.0781,20553.7584,86332.9072,12.6688,11.2778,91.271,retail
Masoor,2017,Rabi       ,Assam,157782.52,192116.3814,8.9238,27879.599,103619.9663,69575.2199,54657.9433,49535.0936,58163.1884,11.9091,1.2198,28.7937,direct
Mesta,2017,Kharif     ,Assam,118625.3,28173.7099,4.6545,24451.2441,65011.2419,21521.5841,20533.8671,42162.5582,93135.6569,11.4918,0.2354,40.2427,wholesale
Moong(Green Gram),2017,Rabi       ,Assam,15494.13,480400.4894,0.2996,34386.9324,47970.9569,62019.0939,71865.3302,44053.0663,100177.1664,14.2417,31.0086,69.0257,retail
Niger seed,2017,Kharif     ,Assam,48225.37,395551.4903,7.5435,46404.3271,40230.8123,59454.1969,91645.7675,42511.6457,80944.109,12.9256,8.2069,111.0767,direct
Onion,2017,Whole Year ,Assam,156015.01,315834.9067,5.0183,40567.5948,54810.3862,52692.8669,65265.6879,18181.6433,44797.1229,11.3955,2.0223,71.2727,wholesale
Other  Rabi pulses,2017,Rabi       ,Assam,168629.07,219050.5284,5.9385,26851.4788,73947.5288,53353.7952,47249.916,20180.1786,14899.5574,8.9131,1.2947,38.8517,retail
Peas & beans (Pulses),2017,Rabi       ,Assam,12281.87,422025.7834,4.5582,49067.4929,60731.2633,76322.0728,36250.102,16008.7943,46475.0434,15.3866,34.3577,77.8104,direct
Potato,2017,Whole Year ,Assam,40975.44,534374.7241,8.4851,34797.0206,66073.57,21588.9513,46044.7215,23357.6185,26371.4875,15.2903,13.0433,50.718,wholesale
Rapeseed &Mustard,2017,Rabi       ,Assam,71060.69,271775.4204,5.9599,40894.2872,57210.0431,27618.1124,29087.6825,52364.7728,119483.4225,10.4004,3.8199,68.8331,retail
Rice,2017,Autumn     ,Assam,113201.22,178081.4268,3.5096,51510.5597,85647.4652,17853.2389,54419.4831,89204.7016,61442.0857,11.3955,1.5729,64.3498,direct
Rice,2017,Summer     ,Assam,188327.83,75254.4589,2.4289,38485.7172,54712.6738,46406.7667,20379.5838,28859.933,20619.7346,9.1378,0.3959,75.2638,wholesale
Rice,2017,Winter     ,Assam,120545.99,98396.8897,7.5649,51103.0502,49638.9906,14102.8461,44916.0213,59527.1495,26415.5608,11.3955,0.8132,110.1565,retail
Sesamum,2017,Kharif     ,Assam,144252.53,235292.5185,9.3625,63471.3407,67037.4153,56432.2815,78467.5512,63118.0374,99227.2097,12.519,1.6264,101.3076,direct
Small millets,2017,Kharif     ,Assam,161002.67,331375.1266,8.4102,33749.4157,34879.0682,15101.6804,58376.4287,20208.7262,151265.5683,10.4218,2.0544,93.1863,wholesale
Sugarcane,2017,Whole Year ,Assam,43402.05,279104.1821,10.5288,46566.6996,39347.8911,78838.777,29736.1025,6929.7908,15538.0478,11.2029,6.4307,113.9657,retail
Sweet potato,2017,Whole Year ,Assam,191593.26,69603.5107,7.2439,56634.7683,57991.4106,49741.0472,83962.6646,82485.4868,87914.1318,12.8828,0.3638,104.4962,direct
Tapioca,2017,Whole Year ,Assam,193445.02,517984.4748,1.8618,63985.3687,66536.3343,82967.1794,36725.4816,61116.3456,48778.6464,16.2319,2.675,92.6085,wholesale
Tobacco,2017,Whole Year ,Assam,159909.59,342026.7412,6.741,33722.4838,76378.1729,65967.3404,65208.0898,33705.6955,70716.5782,13.5034,2.14,42.5218,retail
Turmeric,2017,Whole Year ,Assam,180112.38,456244.4262,3.7771,53524.075,63767.9554,71079.9074,26209.8105,60104.896,143273.5243,11.9733,2.5359,80.8278,direct
Urad,2017,Rabi       ,Assam,19879.42,269573.9382,0.1605,37581.2569,81281.908,60517.2205,30277.4904,47509.177,34929.7862,15.6541,13.5569,44.5227,wholesale
Wheat,2017,Rabi       ,Assam,184478.84,80144.7227,10.3897,49916.7626,46933.2602,36017.8799,70694.6325,88144.0106,71257.2706,9.8868,0.4387,113.8052,retail
Arecanut,2017,Rabi       ,Meghalaya,105653.56,226330.9582,0.4494,23422.8778,91327.1108,40086.4479,11675.4762,71400.1156,34092.6289,13.1396,2.14,27.4455,direct
Arhar/Tur,2017,Kharif     ,Meghalaya,198581.99,383569.0739,3.4026,58434.6688,58761.7143,17772.3897,91591.572,50799.6303,114062.1819,12.2515,1.9367,95.765,wholesale
Banana,2017,Kharif     ,Meghalaya,198727.65,169344.7805,4.1195,50614.1458,86482.4718,51907.2515,33780.5634,27428.2302,69277.7385,14.4878,0.856,62.6271,retail
Black pepper,2017,Rabi       ,Meghalaya,42197.07,265929.4112,9.9403,38177.1827,87661.6974,83335.1845,84633.255,91558.4876,105624.7183,14.2524,6.3023,46.5985,direct
Cashewnut,2017,Rabi       ,Meghalaya,141980.68,407045.6122,4.3228,63971.983,75742.0579,32426.3821,73401.2617,48761.9544,106744.1416,10.7749,2.8676,81.3307,wholesale
Castor seed,2017,Rabi       ,Meghalaya,168974.77,183395.325,2.1293,44976.6261,93802.2669,27952.466,61038.3319,65869.9704,39060.1574,9.8761,1.0807,51.3065,retail
Coriander,2017,Whole Year ,Meghalaya,105592.92,259958.1799,5.0825,27858.1455,106275.9096,49007.4873,11052.3938,94036.1368,69948.5215,11.9519,2.461,28.0447,direct
Cotton(lint),2017,Kharif     ,Meghalaya,20635.12,389507.7558,1.3803,57574.7205,79722.0406,30764.2227,70614.2862,8519.9713,39992.0632,10.5181,18.8748,69.55,wholesale
Cowpea(Lobia),2017,Rabi       ,Meghalaya,150633.21,423484.9959,4.2907,51356.6937,48148.6518,42238.5924,88478.4498,42745.8259,36052.1413,12.8079,2.8141,102.72,retail
Dry chillies,2017,Whole Year ,Meghalaya,21118.65,49292.5032,8.8061,33341.7671,93681.7528,25363.2265,47485.744,66586.6778,13929.4847,10.4111,2.3326,38.0813,direct
Ginger,2017,Kharif     ,Meghalaya,143069.19,198587.5809,8.239,33346.5714,103232.1662,14837.5616,39403.1031,32104.4298,75201.6116,8.6991,1.391,34.561,wholesale
Gram,2017,Rabi       ,Meghalaya,136460.16,297409.175,2.3647,41016.738,82467.9816,85967.2347,53046.2665,11915.2204,76769.2365,12.9684,2.1828,47.8932,retail
Jute,2017,Kharif     ,Meghalaya,94066.33,253627.7175,5.992,36141.9464,47494.5715,85216.512,63513.9374,75624.9143,88311.2195,14.5306,2.6964,81.427,direct
Linseed,2017,Rabi       ,Meghalaya,17498.4,424395.3626,1.9688,49950.9919,37756.2126,29993.7906,91738.8147,58444.4593,95459.3331,10.8284,24.2569,127.4049,wholesale
Maize,2017,Kharif     ,Meghalaya,22544.93,348338.4465,1.1235,23493.2196,76456.743,76459.0221,82314.5115,16525.8718,80629.85,16.1998,15.4508,29.5855,retail
Masoor,2017,Rabi       ,Meghalaya,56722.84,205193.3757,2.6643,54645.0605,99555.689,73897.6133,49669.9243,86059.8646,48377.8137,13.4713,3.6166,58.7323,direct
Mesta,2017,Kharif     ,Meghalaya,10333.42,197608.2955,6.9443,58920.8554,84085.9286,26540.5047,50430.7264,55806.9735,68429.7956,9.2662,19.1209,74.9749,wholesale
Onion,2017,Rabi       ,Meghalaya,178769.37,254781.124,2.3754,33808.1266,57965.3668,83614.7327,20526.4734,33379.5167,102130.6119,14.124,1.4231,62.4024,retail
Peas & beans (Pulses),2017,Rabi       ,Meghalaya,97836.43,62386.5426,0.2889,47385.1105,47025.9436,36293.2979,76291.4387,103237.2915,101207.5443,14.9479,0.642,107.8132,direct
Potato,2017,Summer     ,Meghalaya,70641.88,530289.9563,4.6545,45948.6141,50395.1703,51220.6539,36709.4744,58133.2819,51586.7972,15.6113,7.5114,87.8042,wholesale
Potato,2017,Winter     ,Meghalaya,150288.84,191983.7335,4.2265,32934.2469,96974.9453,49089.0106,41268.83,28983.411,83968.5282,13.1182,1.2733,36.3372,retail
Rapeseed &Mustard,2017,Rabi       ,Meghalaya,99221.32,341929.307,2.2256,32020.7451,67092.9269,70611.3437,78839.4725,25652.4903,29979.9983,16.2854,3.4454,45.9565,direct
Rice,2017,Autumn     ,Meghalaya,134901.83,55209.7744,9.0843,64039.2218,43488.5878,33944.3804,17602.035,39900.2572,52509.5117,11.6951,0.4066,157.5682,wholesale
Rice,2017,Rabi       ,Meghalaya,35383.81,124204.744,3.1993,28519.5981,71263.8297,53542.2222,46820.1933,66667.3986,60855.929,13.054,3.5096,42.8214,retail
Rice,2017,Winter     ,Meghalaya,29519.59,43706.5254,7.8003,22871.7208,84542.9577,47550.5539,35692.4501,48642.6494,42315.5575,13.9314,1.4766,28.9435,direct
Sesamum,2017,Rabi       ,Meghalaya,38792.67,198289.9711,9.7691,43862.7882,76911.1827,53183.1623,11827.6623,78634.514,48811.8271,8.9666,5.1146,61.0221,wholesale
Small millets,2017,Rabi       ,Meghalaya,135741.8,259250.407,1.0593,35734.6616,77287.2984,59182.9626,54725.3854,33503.198,74745.5669,12.1231,1.9046,49.4768,retail
Soyabean,2017,Kharif     ,Meghalaya,90052.74,338809.8397,10.4432,23629.8586,49701.2004,87172.1831,18646.4192,42855.747,41892.6079,11.7486,3.7664,45.7853,direct
Sugarcane,2017,Whole Year ,Meghalaya,128834.82,222506.3823,0.3424,59550.1331,68072.6082,41996.6119,40858.6562,35068.3084,64632.0018,13.9635,1.7227,93.6036,wholesale
Sweet potato,2017,Kharif     ,Meghalaya,158242.78,445430.4605,4.0018,55837.3936,59513.7959,21366.6588,66456.4267,29836.5113,86450.4146,16.3389,2.8141,90.3508,retail
Tapioca,2017,Kharif     ,Meghalaya,83994.78,281120.8967,4.4405,47625.3576,58072.4524,54892.0486,43106.983,16859.0591,44415.2613,15.3545,3.3491,78.9767,direct
Tobacco,2017,Rabi       ,Meghalaya,79857.33,36458.8162,10.5716,31668.3727,59619.0304,14633.855,49989.9078,24714.0468,98398.805,10.4218,0.4601,56.8384,wholesale
Turmeric,2017,Whole Year ,Meghalaya,92047.66,362928.4529,0.4601,26297.6575,77163.3496,81449.2988,74104.6262,27337.2588,26342.0625,16.0607,3.9376,32.8169,retail
Wheat,2017,Rabi       ,Meghalaya,163982.41,377264.1203,6.9015,58189.4034,54833.8513,25026.444,13100.7483,60233.1569,103762.6829,15.4294,2.3005,102.1957,direct
Arecanut,2017,Whole Year ,Goa,56194.44,205305.4047,6.7196,35136.8526,79320.2449,24392.5011,12213.8039,59152.6816,85046.8528,8.8382,3.6487,47.401,wholesale
Banana,2017,Whole Year ,Goa,81673.73,264942.8605,1.2412,58645.7584,84872.8601,77369.7526,25674.1899,73270.711,74366.2733,13.2145,3.2421,73.937,retail
Black pepper,2017,Whole Year ,Goa,172651.67,292896.1397,2.1828,61246.5218,76686.8679,59920.6634,44870.343,31102.2464,139136.3158,9.8333,1.7013,76.9116,direct
Cashewnut,2017,Whole Year ,Goa,63480.14,147782.8146,7.062,48915.2212,45153.4864,62922.2167,44882.541,15805.8367,33704.1226,9.4695,2.3326,115.9131,wholesale
Coconut ,2017,Whole Year ,Goa,59116.17,407314.1394,8.3567,51711.3238,60790.6697,71465.5033,43021.5863,67713.024,138486.9007,14.5734,6.8908,81.9192,retail
Groundnut,2017,Kharif     ,Goa,22327.42,146822.1258,8.8168,41962.3719,55761.8195,63557.4543,51908.8244,99633.8525,31177.9061,10.6358,6.5805,80.5175,direct
Groundnut,2017,Rabi       ,Goa,87917.31,154013.8633,0.6527,54771.4596,100871.7783,21274.7779,70688.1376,50896.3262,45452.4444,9.6942,1.7548,58.101,wholesale
Other  Rabi pulses,2017,Rabi       ,Goa,120314.24,200998.3765,7.5114,33251.4484,93725.366,62051.7396,70442.2837,31678.8052,64732.8707,11.2136,1.6692,37.9636,retail
Other Kharif pulses,2017,Kharif     ,Goa,198235.04,517810.0113,10.1222,22701.9546,57117.8733,96193.6099,37416.3378,51145.9144,140575.8296,13.0647,2.6108,38.2739,direct
Rice,2017,Kharif     ,Goa,128356.35,139384.6414,8.8061,56965.7621,90471.0894,55472.9944,78039.1874,14273.8856,14763.0575,9.3625,1.0807,67.3779,wholesale
Rice,2017,Rabi       ,Goa,32628.88,94720.4446,5.9813,51932.0541,82505.2497,59772.7252,28901.2671,96234.7407,91894.6495,9.2983,2.8997,67.3458,retail
Sugarcane,2017,Whole Year ,Goa,133938.39,373810.5027,7.9287,62935.0246,48555.8617,29907.3025,60354.6126,8899.7036,42738.8281,12.1445,2.7927,124.8155,direct
Sweet potato,2017,Whole Year ,Goa,10353.73,436017.2532,6.5698,46026.0179,61963.1864,85591.0227,73730.383,39603.1717,135584.6434,15.1833,42.1152,71.5295,wholesale
other oilseeds,2017,Whole Year ,Goa,179014.1,17030.2805,8.5386,33704.6469,50232.7871,63980.2755,49800.4322,20387.9405,99490.0124,11.3848,0.0963,71.797,retail
Arecanut,2017,Whole Year ,Karnataka,27742.73,482115.3035,10.4967,56260.6749,78113.6915,60520.2272,36404.182,51254.2091,73521.9256,10.3041,17.3768,69.3574,direct
Arhar/Tur,2017,Kharif     ,Karnataka,84730.04,145083.9536,2.8462,21521.552,56891.1617,72509.0422,65538.5486,94543.6485,12053.9566,9.6621,1.712,40.4781,wholesale
Bajra,2017,Kharif     ,Karnataka,60512.71,174730.2403,10.5288,34777.5145,97339.7618,24286.9456,57088.0631,49484.7073,99211.7803,14.338,2.889,38.2311,retail
Bajra,2017,Summer     ,Karnataka,21522.64,103025.7953,2.6429,62819.4539,48154.6117,70709.3985,78201.2496,97843.0898,52872.5841,10.3041,4.7829,139.5815,direct
Black pepper,2017,Whole Year ,Karnataka,142198.24,330317.7098,9.8119,28107.5304,35246.3885,61631.7111,93358.9659,63330.4431,26111.8199,9.5658,2.3219,76.7939,wholesale
Cardamom,2017,Whole Year ,Karnataka,82455.85,525474.646,8.8168,60390.3078,76364.2201,65240.5643,16523.0042,60142.2176,125986.0051,14.6483,6.3772,76.1519,retail
Cashewnut,2017,Whole Year ,Karnataka,127138.74,459754.2081,5.0718,40657.7958,35401.7418,34202.5821,67841.424,26012.2029,142396.7342,9.9724,3.6166,110.5952,direct
Castor seed,2017,Kharif     ,Karnataka,19301.03,326309.3828,3.7343,61431.6639,54506.6774,69358.2239,27919.2853,60002.0262,141371.4709,9.8333,16.906,108.5301,wholesale
Coconut ,2017,Whole Year ,Karnataka,29109.99,263827.8242,8.6991,56712.9104,70942.1663,63933.6128,26696.4251,36306.2128,94717.2025,12.519,9.0629,85.5358,retail
Coriander,2017,Whole Year ,Karnataka,152376.22,22887.4284,4.1837,39945.1651,82634.4201,12703.6713,44996.2178,66315.176,84938.3655,11.7593,0.1498,51.7238,direct
Cotton(lint),2017,Kharif     ,Karnataka,124527.16,498428.7482,0.7062,48290.812,42694.819,48530.2459,74190.9538,64857.9109,145198.1654,15.6434,4.0018,108.926,wholesale
Cotton(lint),2017,Rabi       ,Karnataka,83247.36,265502.631,0.9416,48618.4674,60880.1859,73064.95,74419.4737,60906.754,106484.474,10.4218,3.1886,85.4502,retail
Cowpea(Lobia),2017,Kharif     ,Karnataka,94885.41,188225.8507,0.3424,27953.7928,61454.4335,81980.404,30466.431,68754.4871,54072.45,9.7584,1.9795,48.6743,direct
Cowpea(Lobia),2017,Rabi       ,Karnataka,107511.6,474743.7418,0.0107,52000.8658,54476.696,34969.312,12481.6035,39259.5412,138363.8186,9.9938,4.4191,91.9237,wholesale
Cowpea(Lobia),2017,Summer     ,Karnataka,197559.76,388431.9671,3.7985,46773.5734,70412.8373,102137.0533,13823.3728,9637.276,132363.173,13.3857,1.9688,63.9646,retail
Dry chillies,2017,Kharif     ,Karnataka,137228.69,243744.1596,4.7722,52014.3264,43803.3069,76656.1161,43519.1898,80275.573,29587.105,9.8975,1.7762,127.0625,direct
Dry chillies,2017,Rabi       ,Karnataka,146025.58,269144.4509,9.5337,60887.9006,35681.3649,66159.3305,32497.3445,15360.4813,20603.3315,15.2047,1.8404,164.3306,wholesale
Dry chillies,2017,Summer     ,Karnataka,183000.15,390033.4896,10.2613,32500.8434,80037.7441,13683.0316,89617.7002,31697.1771,148211.4566,12.7223,2.1293,39.1085,retail
Garlic,2017,Whole Year ,Karnataka,37851.64,364231.0067,2.8355,21985.29,68983.8523,94287.3514,77993.6589,7528.4451,76817.761,9.5444,9.6193,30.6876,direct
Ginger,2017,Whole Year ,Karnataka,140950.71,434900.0555,3.6166,33249.8327,64886.4478,51333.7208,69177.8112,8174.3934,64829.9946,11.5025,3.0816,49.3484,wholesale
Gram,2017,Rabi       ,Karnataka,23104.94,232293.683,6.5056,60075.15,53284.1275,50959.392,68921.375,60962.2977,89825.6547,14.4236,10.058,120.6318,retail
Groundnut,2017,Kharif     ,Karnataka,94918.05,17135.301,2.6322,32365.36,84356.1357,11831.4715,78804.6226,90995.582,67624.642,11.1922,0.1819,41.0559,direct
Groundnut,2017,Rabi       ,Karnataka,13000.98,414935.1502,5.3393,33145.2937,53219.8954,103165.2805,82893.9058,49058.6226,128592.8033,11.9305,31.9181,59.9735,wholesale
Groundnut,2017,Summer     ,Karnataka,43425.56,290510.5854,3.3598,58253.1005,70570.4162,100292.7371,63308.6579,55412.7427,118876.6897,12.6153,6.6875,79.4903,retail
Horse-gram,2017,Kharif     ,Karnataka,92571.02,522054.4766,3.0709,30749.339,63748.6312,93596.9018,26282.0997,27147.5264,126454.6651,16.0179,5.6389,46.4487,direct
Horse-gram,2017,Rabi       ,Karnataka,67918.79,351422.2828,5.6817,40571.939,69356.3835,17824.6699,31220.6098,51001.0578,103256.284,11.7486,5.1788,56.3355,wholesale
Jowar,2017,Kharif     ,Karnataka,132708.11,368512.6759,10.3362,23692.6569,80229.1992,30431.0033,12404.7561,51911.2212,115359.7281,11.4597,2.782,28.4406,retail
Jowar,2017,Rabi       ,Karnataka,151688.27,80611.2427,7.9822,21626.1445,54335.0708,13553.9682,42449.6178,75593.1353,55620.4725,10.9782,0.535,42.586,direct
